Complaint number,Complaint filed against,Complaint filed by,Reason complaint filed,Confirmed complaint,How resolved,Received date,Closed date,Complaint type,Coverage type,Coverage level,Others involved,Respondent ID,Respondent Role,Respondent type,Complainant type,Keywords
140902,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Contract Language/Legal Issue,6/24/2016,11/9/2016,Property and Casualty,Automobile,Mobile Owners,,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
140904,State Farm Mutual Automobile Insurance Company,Third Party,Unsatisfactory Settle/Offer,No,Claim Settled; Question of Fact; Additional Monies Received,6/27/2016,10/26/2016,Property and Casualty,Automobile,Individual Private Pass,,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; LOSS OF USE; TOTAL LOSS
140990,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Delays (Claims Handling),No,Additional Payment Expected; Additional Monies Received,7/21/2016,11/17/2016,Property and Casualty,Automobile,Individual Private Pass,Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; GR-Claim Evaluation
140993,State Farm Mutual Automobile Insurance Company,Relative,Delays (Claims Handling),No,Information Furnished,6/13/2016,9/28/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Insured; Spouse,1510,Ins Co - Licensed/Active,Organization,INDV,CHIROPRACTIC; GR-Claim Evaluation
141096,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Additional Payment Expected,7/22/2016,11/28/2016,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; GR-Claim Evaluation; SUBROGATION
141115,State Farm Mutual Automobile Insurance Company,Insured,Delays (Policyholder Service); Identification Card Issue,Yes,Information Furnished,7/22/2016,11/28/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Agent; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
141148,State Farm Mutual Automobile Insurance Company,Insured,Agent Handling; Refund Of Premium,No,Question of Fact; Contract Language/Legal Issue,6/28/2016,10/27/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Agent,1510,Ins Co - Licensed/Active,Organization,INDV,
141173,State Farm Lloyds,Insured,Delays (Claims Handling); Denial Of Claim,Yes,Additional Payment Expected,6/28/2016,11/1/2016,Property and Casualty,Homeowners,Homeowners,Adjuster; Associated Subject Company,3105,Ins Co - Licensed/Active,Organization,INDV,DEDUCTIBLE; DEPRECIATION; GR-Claim Evaluation; HAIL; ROOF; WATER DAMAGE
141179,State Farm Mutual Automobile Insurance Company,Insured,Delays (Claims Handling),No,Additional Payment Expected,7/22/2016,11/30/2016,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; GR-Claim Evaluation; TOTAL LOSS
141197,State Farm Mutual Automobile Insurance Company,Insured,Non-Renewal,No,Information Furnished; Contract Language/Legal Issue,7/22/2016,10/5/2016,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; UNDERWRITING CRITERIA
141223,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling); Denial Of Claim; Unsatisfactory Settle/Offer,No,Question of Fact,6/28/2016,10/31/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DIMINISHED VALUE; LOSS OF USE
141229,State Farm Mutual Automobile Insurance Company,Consumer (Non-Insured),Other,Yes,Premium Refunded,6/28/2016,11/26/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Deceased Person,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
141237,State Farm Mutual Automobile Insurance Company,Insured,Agent Handling; Cancellation; Delays (Policyholder Service); Delays (Underwriting); Premium and Rating; Refund Of Premium,Yes,Corrective Action Taken; Premium Refunded,7/25/2016,11/29/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Agent; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
141338,State Farm Life Insurance Company,Insured,Agent Handling; Denial Of Claim; Misrepresentation; Pre-Existing Condition,No,Information Furnished; Contract Language/Legal Issue,6/24/2016,3/30/2017,"Life, Accident and Health",Accident and Health,Individual A & H,,1509,Ins Co - Licensed/Active,Organization,INDV,COVERAGE DISPUTE; GR-Claim Evaluation
141361,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Claim Settled; Corrective Action Taken; Contract Language/Legal Issue,7/25/2016,12/2/2016,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; DEDUCTIBLE; GR-Claim Evaluation
141365,State Farm Lloyds,Insured,Agent Handling; Delays (Policyholder Service),No,Information Furnished,2/10/2016,7/25/2016,Property and Casualty,Liability,Umbrella,Associated Subject Company,3105,Ins Co - Licensed/Active,Organization,INDV,
141366,State Farm Mutual Automobile Insurance Company,Insured,Agent Handling; Delays (Policyholder Service),No,Information Furnished,2/10/2016,7/25/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Company,1510,Ins Co - Licensed/Active,Organization,INDV,
141372,State Farm Lloyds,Insured,Denial Of Claim,No,Contract Language/Legal Issue,7/25/2016,11/30/2016,Property and Casualty,Homeowners,Rental,Portal - Agency; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,COVERAGE DISPUTE; WATER DAMAGE
141417,State Farm Mutual Automobile Insurance Company,Third Party,Denial Of Claim,No,Contract Language/Legal Issue; Information Furnished,7/25/2016,11/30/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,UNCOOPERATIVE INSURED
141427,State Farm Lloyds,Insured,Denial Of Claim; Unsatisfactory Settle/Offer,No,Question of Fact,6/27/2016,11/2/2016,Property and Casualty,Homeowners,Homeowners,Adjuster; Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; HAIL; ROOF; SENIOR CITIZEN; WATER DAMAGE
141453,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Contract Language/Legal Issue; Information Furnished,7/1/2016,8/24/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Associated Subject Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
141456,State Farm Life Insurance Company,Insured,Delays (Policyholder Service),No,Contract Language/Legal Issue,7/1/2016,3/6/2017,"Life, Accident and Health",Life & Annuity,Individual Life,,1509,Ins Co - Licensed/Active,Organization,INDV,COVERAGE DISPUTE; UNDERWRITING CRITERIA
141491,State Farm Mutual Automobile Insurance Company,Insured,Liability Dispute,No,Additional Payment Expected; Question of Fact,7/26/2016,12/6/2016,Property and Casualty,Automobile,Individual Private Pass,Portal - Agent/Adjuster; Portal - Company; Portal - Insured; Portal - Other; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,COMPARATIVE NEGLIGENCE; GR-Claim Evaluation
141528,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Question of Fact; Additional Payment Expected,7/6/2016,11/7/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Associated Subject Company; Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DIMINISHED VALUE
141582,State Farm Lloyds,Consumer (Non-Insured),Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Information Furnished; Additional Payment Expected,7/26/2016,11/30/2016,Property and Casualty,Homeowners,Homeowners,Associated Subject Company; Portal - Agency; Portal - Insured; Portal - Other Company,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; OVERHEAD AND PROFIT
141597,State Farm Lloyds,Insured,Denial Of Claim,No,Information Furnished; Question of Fact,6/29/2016,11/3/2016,Property and Casualty,Homeowners,Homeowners,Spouse,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; HAIL; ROOF
141603,State Farm Mutual Automobile Insurance Company,Insured,Delays (Claims Handling); Unsatisfactory Settle/Offer,Yes,Claim Settled,6/30/2016,10/27/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Associated Subject Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DIMINISHED VALUE
141657,State Farm Mutual Automobile Insurance Company,Third Party,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Additional Monies Received; Claim Settled,7/5/2016,11/1/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; COVERAGE DISPUTE; DEDUCTIBLE; GR-Claim Evaluation; LOSS OF USE; SUBROGATION; SUPPLEMENTARY PAYMENT
141665,State Farm Lloyds,Third Party,Denial Of Claim,No,Company Position Upheld; Policy Not In Force,7/5/2016,11/2/2016,Property and Casualty,Liability,General Liability,Adjuster; Insured; Insured Company,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; COVERAGE DISPUTE; GR-Claim Evaluation; UNCOOPERATIVE INSURED
141720,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,Yes,Additional Payment Expected; Contract Language/Legal Issue; Additional Monies Received,7/6/2016,11/2/2016,Property and Casualty,Homeowners,Homeowners,Adjuster,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; GR-Claim Evaluation; SENIOR CITIZEN
141743,State Farm Lloyds,Consumer (Non-Insured),Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Information Furnished; Additional Payment Expected,6/30/2016,10/31/2016,Property and Casualty,Homeowners,Homeowners,Adjuster; Associated Subject Person; Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; APPRAISAL
141746,State Farm Lloyds,Insured,Cust Service Claim Handling; Delays (Claims Handling); Endorsement / Rider; Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue,6/30/2016,9/8/2016,Property and Casualty,Homeowners,Condominium,Adjuster,3105,Ins Co - Licensed/Active,Organization,INDV,ACV; ADJUSTER'S HANDLING; DEDUCTIBLE; DEPRECIATION; SUPPLEMENTARY PAYMENT
141760,State Farm Mutual Automobile Insurance Company,Attorney,Cust Service Claim Handling; Delays (Claims Handling),No,Additional Payment Expected; Information Furnished,7/5/2016,11/10/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Correspondent Company; Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; LOSS OF USE; TOTAL LOSS
141762,State Farm Mutual Automobile Insurance Company,Consumer (Non-Insured),Delays (Claims Handling),No,Additional Payment Expected; Additional Monies Received; Question of Fact,7/27/2016,12/2/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
141842,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Question of Fact,7/27/2016,12/7/2016,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
141870,State Farm Lloyds,Insured,Denial Of Claim,No,Additional Payment Expected; Contract Language/Legal Issue,7/13/2016,11/14/2016,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,DEDUCTIBLE; GR-Claim Evaluation; HAIL; ROOF
141946,State Farm Mutual Automobile Insurance Company,Insured,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Appraisal Process Invoked,7/28/2016,12/9/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; APPRAISAL; GR-Claim Evaluation
142082,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling); Delays (Policyholder Service); Non-Renewal; Premium and Rating; Use Of Clue Reports,No,Company Position Upheld; Contract Language/Legal Issue,7/29/2016,12/13/2016,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DEDUCTIBLE; SUBROGATION; UNDERWRITING CRITERIA
142092,State Farm Mutual Automobile Insurance Company,Insured,Delays (Claims Handling),No,Information Furnished; Question of Fact,7/29/2016,1/2/2017,Property and Casualty,Automobile,Individual Private Pass,Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
142204,State Farm Mutual Automobile Insurance Company,Other,Delays (Claims Handling),Yes,Corrective Action Taken; Additional Monies Received,8/1/2016,12/12/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Company; Correspondent Person; Insured; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; GR-Claim Evaluation; LIEN
142277,State Farm Mutual Automobile Insurance Company,Insured,Cancellation,No,Cancel/Non-Renewal Upheld,8/1/2016,11/21/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Agent; Portal - Agent/Adjuster; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
142280,State Farm Lloyds,Insured,Premium and Rating,No,Contract Language/Legal Issue; Company Position Upheld,7/14/2016,11/14/2016,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DEDUCTIBLE
142298,State Farm Mutual Automobile Insurance Company,Third Party,Denial Of Claim,No,Additional Monies Received; Claim Settled,7/15/2016,11/22/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Subject Person; Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; UNCOOPERATIVE INSURED
142320,State Farm Mutual Automobile Insurance Company,Insured,Agent Handling; Delays (Policyholder Service); Refund Of Premium,No,Premium Refunded,5/9/2016,8/2/2016,Property and Casualty,Automobile,Individual Private Pass,,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
142370,State Farm Mutual Automobile Insurance Company,Insured,Agent Handling,No,Information Furnished,7/18/2016,11/17/2016,Property and Casualty,Automobile,Individual Private Pass,,1510,Ins Co - Licensed/Active,Organization,INDV,
142410,State Farm Mutual Automobile Insurance Company,Provider,Delays (Claims Handling),Yes,Corrective Action Taken,8/2/2016,12/9/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Associated Subject Company; Correspondent Person; Insured; Portal - Agent/Adjuster; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
142439,State Farm Mutual Automobile Insurance Company,Insured,Cancellation,No,Question of Fact; Contract Language/Legal Issue,7/14/2016,11/19/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Agent,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
142581,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Information Furnished; Claim Settled; Question of Fact,7/15/2016,11/28/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; TOTAL LOSS
142611,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling),Yes,Claim Settled,8/3/2016,12/15/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Agent; Insured; Portal - Agency; Portal - Agent/Adjuster; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
142648,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling),No,Question of Fact,7/13/2016,11/18/2016,Property and Casualty,Automobile,Individual Private Pass,Correspondent Person; Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
142677,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling),No,Information Furnished; Additional Monies Received,8/4/2016,12/13/2016,Property and Casualty,Automobile,Individual Private Pass,Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; GR-Claim Evaluation; TOTAL LOSS
142717,State Farm Mutual Automobile Insurance Company,Other,Unsatisfactory Settle/Offer,No,Information Furnished,7/27/2016,10/13/2016,Property and Casualty,Automobile,Individual Private Pass,Correspondent Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
142751,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Additional Payment Expected,8/5/2016,12/15/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Associated Subject Person; Insured; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
142754,State Farm Lloyds,Other,Usual And Customary,No,Question of Fact; Information Furnished,8/3/2016,8/17/2016,Property and Casualty,Homeowners,Homeowners,Elected Official Contact; GR Elected Official; Insured,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; OVERHEAD AND PROFIT
142885,State Farm Lloyds,Insured,Non-Renewal,No,Information Furnished,8/5/2016,12/15/2016,Property and Casualty,Homeowners,Homeowners,Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
142898,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Claim Settled; Question of Fact,8/5/2016,12/16/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Insured; Portal - Agent/Adjuster; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
142900,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling); Unsatisfactory Settle/Offer,Yes,Question of Fact,8/5/2016,12/16/2016,Property and Casualty,Automobile,Individual Private Pass,Portal - Attorney; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,TOTAL LOSS
143034,State Farm Mutual Automobile Insurance Company,Third Party,Unsatisfactory Settle/Offer,No,Claim Settled; Question of Fact; Additional Monies Received,8/8/2016,12/20/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Associated Subject Company; Portal - Agent/Adjuster; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,APPRAISAL; DIMINISHED VALUE
143063,State Farm Mutual Automobile Insurance Company,Third Party,Denial Of Claim,No,Question of Fact,8/8/2016,12/20/2016,Property and Casualty,Automobile,Individual Private Pass,Insured; Portal - Insured; Portal - Other Company,1510,Ins Co - Licensed/Active,Organization,INDV,
143086,State Farm Lloyds,Insured,Delays (Claims Handling),No,Contract Language/Legal Issue; Question of Fact,8/8/2016,8/26/2016,Property and Casualty,Homeowners,Homeowners,,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; COVERAGE DISPUTE; DAMAGE DISPUTE; GR-Claim Evaluation; UNCOOPERATIVE INSURED
143093,State Farm Mutual Automobile Insurance Company,Insured,Delays (Claims Handling),No,Question of Fact; Information Furnished,8/8/2016,8/25/2016,Property and Casualty,Automobile,Individual Private Pass,,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; GR-Claim Evaluation
143119,State Farm Lloyds,Relative,Denial Of Claim,Yes,Contract Language/Legal Issue; Additional Payment Expected,8/8/2016,12/15/2016,Property and Casualty,Homeowners,Homeowners,Insured; Portal - Attorney; Portal - Insured; Portal - Other Company,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; WATER DAMAGE
143121,State Farm Lloyds,Insured,Unsatisfactory Settle/Offer,No,Contract Language/Legal Issue; Additional Monies Received,7/22/2016,11/29/2016,Property and Casualty,Homeowners,Mobile Homeowner,Adjuster,3105,Ins Co - Licensed/Active,Organization,INDV,DEPRECIATION; GR-Claim Evaluation; ROOF
143134,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Company Position Upheld; Question of Fact,7/21/2016,9/26/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DIMINISHED VALUE
143177,State Farm Mutual Automobile Insurance Company,Attorney,Cust Service Claim Handling; Delays (Claims Handling),No,Claim Settled,8/9/2016,12/19/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Associated Subject Person; Correspondent Person; Portal - Agent/Adjuster; Portal - Attorney; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
143194,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Denial Of Claim,No,Contract Language/Legal Issue; Question of Fact,7/27/2016,11/29/2016,Property and Casualty,Automobile,Mobile Owners,,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; COVERAGE DISPUTE; DAMAGE DISPUTE; DEDUCTIBLE; GR-Claim Evaluation
143301,State Farm Lloyds,Insured,Refund Of Premium,Yes,Additional Monies Received; Corrective Action Taken,7/25/2016,1/3/2017,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
143331,State Farm Mutual Automobile Insurance Company,Consumer (Non-Insured),Delays (Claims Handling),No,Contract Language/Legal Issue; Company Position Upheld,7/25/2016,11/30/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Correspondent Person; Insured,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING
143339,State Farm Lloyds,Insured,Denial Of Claim,No,Company Position Upheld; Contract Language/Legal Issue,7/25/2016,12/2/2016,Property and Casualty,Homeowners,Rental,Adjuster,3105,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; GR-Claim Evaluation; HAIL; ROOF
143416,State Farm Mutual Automobile Insurance Company,Attorney,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Company Position Upheld; Claim Settled,8/10/2016,12/15/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Correspondent Company; Insured; Portal - Agent/Adjuster; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; GR-Claim Evaluation
143476,State Farm Mutual Automobile Insurance Company,Third Party,Denial Of Claim; Liability Dispute,No,Question of Fact; Information Furnished,7/27/2016,12/8/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Associated Subject Person; Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; GR-Claim Evaluation
143482,State Farm Mutual Automobile Insurance Company,Lienholder,Delays (Claims Handling),No,Claim Settled; Information Furnished,7/27/2016,12/6/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Associated Subject Person; Correspondent Person; Insured,1510,Ins Co - Licensed/Active,Organization,ORG,ADJUSTER'S HANDLING; UNCOOPERATIVE INSURED
143504,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Question of Fact,7/28/2016,12/9/2016,Property and Casualty,Automobile,Individual Private Pass,Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DIMINISHED VALUE
143514,State Farm Lloyds,Insured,Delays (Policyholder Service); Refund Of Premium,Yes,Premium Refunded; Information Furnished; Corrective Action Taken,7/29/2016,9/26/2016,Property and Casualty,Homeowners,Homeowners,Associated Agent,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
143515,State Farm Mutual Automobile Insurance Company,Insured,Delays (Policyholder Service); Refund Of Premium,No,Corrective Action Taken; Information Furnished,7/29/2016,9/26/2016,Property and Casualty,Automobile,Individual Private Pass,,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
143519,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Information Furnished,8/11/2016,12/28/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
143541,State Farm Lloyds,Insured,Premium and Rating; Refund Of Premium,No,Information Furnished,8/11/2016,12/28/2016,Property and Casualty,Homeowners,Homeowners,Associated Agent; Portal - Company; Portal - Insured,3105,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
143563,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling); Denial Of Claim,No,Information Furnished,8/1/2016,12/8/2016,Property and Casualty,Automobile,Individual Private Pass,,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DAMAGE DISPUTE; HAIL; LIEN
143583,State Farm Mutual Automobile Insurance Company,Insured,Premium and Rating,No,Company Position Upheld,7/29/2016,12/5/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Agent; Insured,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
143636,State Farm Mutual Automobile Insurance Company,Third Party,Delays (Claims Handling),No,,8/1/2016,12/8/2016,Property and Casualty,Automobile,Individual Private Pass,Adjuster; Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING
143658,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling); Non-Renewal,Yes,Contract Language/Legal Issue,8/11/2016,2/7/2017,Property and Casualty,Automobile,Individual Private Pass,Associated Agent; Associated Subject Person; Insured; Portal - Agent/Adjuster; Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DEDUCTIBLE; SUBROGATION
143905,State Farm Mutual Automobile Insurance Company,Insured,Cust Service Claim Handling; Delays (Claims Handling); Unsatisfactory Settle/Offer,No,Claim Settled,8/15/2016,12/30/2016,Property and Casualty,Automobile,Individual Private Pass,Portal - Company; Portal - Insured,1510,Ins Co - Licensed/Active,Organization,INDV,ADJUSTER'S HANDLING; DEDUCTIBLE
144047,State Farm Mutual Automobile Insurance Company,Insured,Denial Of Claim,No,Question of Fact; Information Furnished,8/2/2016,12/14/2016,Property and Casualty,Automobile,Individual Private Pass,,1510,Ins Co - Licensed/Active,Organization,INDV,DAMAGE DISPUTE; DEDUCTIBLE; LOSS OF USE; WATER DAMAGE
144088,State Farm Mutual Automobile Insurance Company,Insured,Agent Handling; Cancellation; Delays (Policyholder Service); Premium and Rating; Refund Of Premium,Yes,Policy Issued/Restored; Premium Refunded,8/3/2016,12/27/2016,Property and Casualty,Automobile,Individual Private Pass,Associated Agent; Insured,1510,Ins Co - Licensed/Active,Organization,INDV,UNDERWRITING CRITERIA
